iter	Passed	Remaining
440	1298	1646
441	1301	1642
442	1304	1639
443	1307	1636
444	1309	1633
445	1312	1630
446	1315	1628
447	1318	1624
448	1321	1621
449	1324	1618
450	1327	1615
451	1330	1612
452	1332	1609
453	1335	1606
454	1337	1602
455	1340	1599
456	1343	1595
457	1346	1592
458	1348	1589
459	1351	1586
460	1354	1583
461	1357	1580
462	1360	1577
463	1362	1574
464	1365	1570
465	1367	1567
466	1370	1563
467	1374	1562
468	1378	1560
469	1382	1558
470	1385	1556
471	1388	1553
472	1393	1553
473	1397	1550
474	1400	1547
475	1402	1544
476	1405	1540
477	1407	1537
478	1410	1534
479	1413	1530
480	1415	1527
481	1418	1524
482	1421	1521
483	1424	1518
484	1426	1514
485	1429	1511
486	1431	1508
487	1434	1504
488	1436	1501
489	1439	1497
490	1441	1494
491	1443	1490
492	1446	1487
493	1449	1485
494	1452	1482
495	1455	1479
496	1458	1476
497	1460	1472
498	1463	1469
499	1466	1466
500	1469	1463
501	1471	1459
502	1474	1456
503	1476	1453
504	1479	1450
505	1481	1446
506	1484	1443
507	1487	1440
508	1489	1437
509	1493	1434
510	1496	1432
511	1499	1429
512	1502	1426
513	1505	1423
514	1507	1420
515	1510	1416
516	1513	1413
517	1515	1410
518	1517	1406
519	1520	1403
520	1523	1400
521	1526	1397
522	1528	1394
523	1531	1390
524	1533	1387
525	1536	1384
526	1539	1381
527	1541	1378
528	1544	1375
529	1547	1371
530	1549	1368
531	1552	1365
532	1555	1362
533	1557	1359
534	1560	1356
535	1563	1353
536	1565	1350
537	1568	1346
538	1571	1343
539	1573	1340
540	1576	1337
541	1578	1333
542	1581	1330
543	1583	1327
544	1586	1324
545	1589	1321
546	1592	1318
547	1595	1315
548	1597	1312
549	1600	1309
550	1603	1306
551	1605	1303
552	1608	1300
553	1611	1297
554	1613	1294
555	1616	1291
556	1619	1288
557	1622	1284
558	1624	1281
559	1627	1278
560	1630	1275
561	1632	1272
562	1635	1269
563	1638	1266
564	1641	1263
565	1644	1260
566	1647	1257
567	1649	1254
568	1652	1251
569	1654	1248
570	1657	1245
571	1660	1242
572	1662	1238
573	1665	1235
574	1667	1232
575	1670	1229
576	1672	1226
577	1675	1223
578	1678	1220
579	1681	1217
580	1683	1214
581	1686	1211
582	1688	1208
583	1691	1204
584	1694	1201
585	1697	1198
586	1699	1195
587	1702	1192
588	1705	1189
589	1708	1187
590	1711	1184
591	1713	1181
592	1716	1178
593	1718	1174
594	1721	1171
595	1723	1168
596	1726	1165
597	1729	1162
598	1731	1159
599	1733	1155
600	1736	1152
601	1738	1149
602	1741	1146
603	1743	1143
604	1746	1140
605	1749	1137
606	1751	1134
607	1754	1130
608	1756	1127
609	1759	1124
610	1761	1121
611	1764	1118
612	1766	1115
613	1769	1112
614	1772	1109
615	1774	1106
616	1777	1103
617	1779	1100
618	1782	1097
619	1785	1094
620	1787	1091
621	1790	1088
622	1792	1084
623	1795	1082
624	1798	1078
625	1800	1075
626	1803	1072
627	1805	1069
628	1808	1066
629	1811	1063
630	1813	1060
631	1815	1057
632	1818	1054
633	1820	1051
634	1823	1047
635	1825	1044
636	1827	1041
637	1830	1038
638	1832	1035
639	1835	1032
640	1837	1029
641	1840	1026
642	1843	1023
643	1846	1020
644	1848	1017
645	1851	1014
646	1853	1011
647	1856	1008
648	1859	1005
649	1861	1002
650	1863	999
651	1867	996
652	1870	994
653	1874	991
654	1878	989
655	1881	986
656	1884	983
657	1886	980
658	1889	977
659	1892	974
660	1895	971
661	1897	968
662	1900	965
663	1902	962
664	1905	959
665	1907	956
666	1910	953
667	1913	950
668	1915	947
669	1918	944
670	1920	941
671	1923	938
672	1925	935
673	1928	932
674	1930	929
675	1933	926
676	1935	923
677	1938	920
678	1940	917
679	1943	914
680	1945	911
681	1948	908
682	1950	905
683	1952	902
684	1955	899
685	1958	896
686	1960	893
687	1963	890
688	1965	887
689	1968	884
690	1970	881
691	1973	878
692	1978	876
693	1982	874
694	1986	871
695	2010	878
696	2015	876
697	2019	873
698	2023	871
699	2026	868
700	2030	865
701	2033	863
702	2036	860
703	2039	857
704	2043	855
705	2046	852
706	2049	849
707	2053	846
708	2056	844
709	2059	841
710	2062	838
711	2064	835
712	2067	832
713	2070	829
714	2073	826
715	2075	823
716	2078	820
717	2080	817
718	2083	814
719	2086	811
720	2088	808
721	2091	805
722	2093	802
723	2096	799
724	2098	796
725	2101	792
726	2103	789
727	2106	786
728	2108	783
729	2111	780
730	2113	777
731	2116	775
732	2119	772
733	2122	769
734	2124	766
735	2127	763
736	2129	760
737	2132	757
738	2135	754
739	2137	751
740	2140	748
741	2143	745
742	2145	742
743	2148	739
744	2151	736
745	2154	733
746	2156	730
747	2159	727
748	2161	724
749	2164	721
750	2167	718
751	2169	715
752	2172	712
753	2175	709
754	2177	706
755	2180	703
756	2183	700
757	2185	697
758	2188	694
759	2190	691
760	2193	688
761	2196	686
762	2199	683
763	2202	680
764	2205	677
765	2207	674
766	2210	671
767	2213	668
768	2216	665
769	2218	662
770	2221	659
771	2223	656
772	2226	653
773	2229	650
774	2231	647
775	2234	644
776	2236	641
777	2239	638
778	2242	636
779	2245	633
780	2248	630
781	2251	627
782	2253	624
783	2256	621
784	2259	618
785	2262	616
786	2265	613
787	2268	610
788	2271	607
789	2273	604
790	2276	601
791	2279	598
792	2282	595
793	2285	592
794	2288	590
795	2291	587
796	2294	584
797	2296	581
798	2299	578
799	2302	575
800	2304	572
801	2307	569
802	2310	566
803	2312	563
804	2315	560
805	2318	557
806	2320	555
807	2323	552
808	2326	549
809	2329	546
810	2332	543
811	2334	540
812	2337	537
813	2340	534
814	2343	532
815	2347	529
816	2350	526
817	2353	523
818	2357	520
819	2360	518
820	2363	515
821	2366	512
822	2370	509
823	2373	506
824	2376	504
825	2379	501
826	2382	498
827	2386	495
828	2389	492
829	2392	489
830	2395	487
831	2398	484
832	2400	481
833	2403	478
834	2407	475
835	2409	472
836	2412	469
837	2415	466
838	2418	464
839	2421	461
840	2424	458
841	2427	455
842	2431	452
843	2434	449
844	2437	447
845	2441	444
846	2444	441
847	2447	438
848	2451	435
849	2454	433
850	2457	430
851	2461	427
852	2464	424
853	2467	421
854	2470	418
855	2473	416
856	2476	413
857	2480	410
858	2483	407
859	2486	404
860	2489	401
861	2492	398
862	2495	396
863	2498	393
864	2501	390
865	2504	387
866	2507	384
867	2511	381
868	2514	379
869	2517	376
870	2520	373
871	2523	370
872	2526	367
873	2529	364
874	2532	361
875	2535	358
876	2538	356
877	2541	353
878	2543	350
879	2546	347
880	2549	344
881	2552	341
882	2554	338
883	2557	335
884	2560	332
885	2563	329
886	2566	326
887	2568	323
888	2571	321
889	2573	318
890	2576	315
891	2579	312
892	2582	309
893	2584	306
894	2586	303
895	2589	300
896	2592	297
897	2595	294
898	2597	291
899	2600	288
900	2603	286
901	2606	283
902	2608	280
903	2612	277
904	2620	275
905	2624	272
906	2628	269
907	2633	266
908	2638	264
909	2642	261
910	2648	258
911	2652	255
912	2656	253
913	2659	250
914	2663	247
915	2666	244
916	2668	241
917	2671	238
918	2674	235
919	2677	232
920	2679	229
921	2682	226
922	2684	223
923	2687	221
924	2690	218
925	2693	215
926	2695	212
927	2698	209
928	2701	206
929	2703	203
930	2706	200
931	2708	197
932	2711	194
933	2714	191
934	2716	188
935	2719	185
936	2721	182
937	2724	180
938	2726	177
939	2728	174
940	2731	171
941	2733	168
942	2736	165
943	2739	162
944	2742	159
945	2744	156
946	2747	153
947	2750	150
948	2752	147
949	2755	145
950	2758	142
951	2760	139
952	2763	136
953	2765	133
954	2768	130
955	2771	127
956	2773	124
957	2776	121
958	2779	118
959	2781	115
960	2784	113
961	2787	110
962	2789	107
963	2792	104
964	2795	101
965	2797	98
966	2800	95
967	2803	92
968	2805	89
969	2808	86
970	2811	83
971	2813	81
972	2816	78
973	2819	75
974	2822	72
975	2824	69
976	2827	66
977	2830	63
978	2832	60
979	2835	57
980	2838	54
981	2840	52
982	2843	49
983	2845	46
984	2848	43
985	2851	40
986	2854	37
987	2856	34
988	2859	31
989	2861	28
990	2864	26
991	2867	23
992	2870	20
993	2873	17
994	2875	14
995	2878	11
996	2881	8
997	2884	5
998	2886	2
999	2889	0
